Regional Economy,Statistic,Value,Footnote,Year,Unit of Measurement,Sustainable Development Goal,ADB Country Code
Cambodia,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,27.2,,2016,?g/m3,11.6.2,CAM
"China, People's Republic of",Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,48.8,,2016,?g/m3,11.6.2,PRC
Cook Islands,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas , … ,,2016,?g/m3,11.6.2,COO
Fiji,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,11.1,,2016,?g/m3,11.6.2,FIJ
Georgia,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,26.9,,2016,?g/m3,11.6.2,GEO
"Hong Kong, China",Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,35,,2020,?g/m3,11.6.2,HKG
India,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,78.2,,2016,?g/m3,11.6.2,IND
Indonesia,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,20.7,,2016,?g/m3,11.6.2,INO
Kazakhstan,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,25.6,,2016,?g/m3,11.6.2,KAZ
Kiribati,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,11.6,,2016,?g/m3,11.6.2,KIR
"Korea, Republic of",Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,26.5,,2016,?g/m3,11.6.2,KOR
Kyrgyz Republic,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,28.2,,2016,?g/m3,11.6.2,KGZ
Lao People's Democratic Republic,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,21.8,,2016,?g/m3,11.6.2,LAO
Malaysia,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,17.2,,2016,?g/m3,11.6.2,MAL
Maldives,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,10.4,,2016,?g/m3,11.6.2,MLD
Marshall Islands,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas , … ,,2016,?g/m3,11.6.2,RMI
"Micronesia, Federated States of",Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,10.8,,2016,?g/m3,11.6.2,FSM
Mongolia,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,60,,2016,?g/m3,11.6.2,MON
Myanmar,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,33.7,,2016,?g/m3,11.6.2,MYA
Nauru,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,8.2,,2016,?g/m3,11.6.2,NAU
Nepal,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,88,,2016,?g/m3,11.6.2,NEP
Niue,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas , … ,,2016,?g/m3,11.6.2,NIU
Pakistan,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,62.6,,2016,?g/m3,11.6.2,PAK
Palau,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,8.7,,2016,?g/m3,11.6.2,PAL
Papua New Guinea,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,12.2,,2016,?g/m3,11.6.2,PNG
Philippines,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,23.7,,2016,?g/m3,11.6.2,PHI
Samoa,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,11,,2016,?g/m3,11.6.2,SAM
Singapore,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,17.2,,2016,?g/m3,11.6.2,SIN
Solomon Islands,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,11.8,,2016,?g/m3,11.6.2,SOL
Sri Lanka,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,16.8,,2016,?g/m3,11.6.2,SRI
"Taipei,China",Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,14.4,,2021,?g/m3,11.6.2,TAP
Tajikistan,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,46.5,,2016,?g/m3,11.6.2,TAJ
Thailand,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,31.9,,2016,?g/m3,11.6.2,THA
Timor-Leste,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,17.7,,2016,?g/m3,11.6.2,TIM
Tonga,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,11.1,,2016,?g/m3,11.6.2,TON
Turkmenistan,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,33.3,,2016,?g/m3,11.6.2,TKM
Tuvalu,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas , … ,,2016,?g/m3,11.6.2,TUV
Uzbekistan,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,33.9,,2016,?g/m3,11.6.2,UZB
Vanuatu,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,11.1,,2016,?g/m3,11.6.2,VAN
Viet Nam,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter (PM2.5) or Smaller Concentration Levels in Urban Areas ,23.7,,2016,?g/m3,11.6.2,VIE
Afghanistan,Average Annual Population Growth Rate,3,,2016-2021,%,,AFG
Armenia,Average Annual Population Growth Rate,–0.2,,2016-2021,%,,ARM
Azerbaijan,Average Annual Population Growth Rate,0.8,,2016-2021,%,,AZE
Bangladesh,Average Annual Population Growth Rate,1.4,,2016-2021,%,,BAN
Bhutan,Average Annual Population Growth Rate,1,,2016-2021,%,,BHU
Brunei Darussalam,Average Annual Population Growth Rate,0.6,,2016-2021,%,,BRU
Cambodia,Average Annual Population Growth Rate,1.4,,2016-2021,%,,CAM
"China, People's Republic of",Average Annual Population Growth Rate,0.3,,2016-2021,%,,PRC
Cook Islands,Average Annual Population Growth Rate,0.4,,2016-2021,%,,COO
Fiji,Average Annual Population Growth Rate,0.4,,2016-2021,%,,FIJ
Georgia,Average Annual Population Growth Rate,–0.1,,2016-2021,%,,GEO
"Hong Kong, China",Average Annual Population Growth Rate,0.2,,2016-2021,%,,HKG
India,Average Annual Population Growth Rate,1.1,,2016-2021,%,,IND
Indonesia,Average Annual Population Growth Rate,1,,2016-2021,%,,INO
Kazakhstan,Average Annual Population Growth Rate,1.3,,2016-2021,%,,KAZ
Kiribati,Average Annual Population Growth Rate,1.7,,2016-2021,%,,KIR
"Korea, Republic of",Average Annual Population Growth Rate,0.2,,2016-2021,%,,KOR
Kyrgyz Republic,Average Annual Population Growth Rate,2,,2016-2021,%,,KGZ
Lao People's Democratic Republic,Average Annual Population Growth Rate,1.6,,2016-2021,%,,LAO
Malaysia,Average Annual Population Growth Rate,0.6,,2016-2021,%,,MAL
Maldives,Average Annual Population Growth Rate,3.8,,2016-2021,%,,MLD
Marshall Islands,Average Annual Population Growth Rate,–0.0,,2016-2021,%,,RMI
"Micronesia, Federated States of",Average Annual Population Growth Rate,0.3,,2016-2021,%,,FSM
Mongolia,Average Annual Population Growth Rate,1.8,,2016-2021,%,,MON
Myanmar,Average Annual Population Growth Rate,0.9,,2016-2021,%,,MYA
Nauru,Average Annual Population Growth Rate,1.4,,2016-2021,%,,NAU
Nepal,Average Annual Population Growth Rate,1.4,,2016-2021,%,,NEP
Niue,Average Annual Population Growth Rate,–1.1,,2016-2021,%,,NIU
Pakistan,Average Annual Population Growth Rate,2.1,,2016-2021,%,,PAK
Palau,Average Annual Population Growth Rate,0.2,,2016-2021,%,,PAL
Papua New Guinea,Average Annual Population Growth Rate,2.2,,2016-2021,%,,PNG
Philippines,Average Annual Population Growth Rate,1.5,,2016-2021,%,,PHI
Samoa,Average Annual Population Growth Rate,0.6,,2016-2021,%,,SAM
Singapore,Average Annual Population Growth Rate,–0.6,,2016-2021,%,,SIN
Solomon Islands,Average Annual Population Growth Rate,2.3,,2016-2021,%,,SOL
Sri Lanka,Average Annual Population Growth Rate,0.9,,2016-2021,%,,SRI
"Taipei,China",Average Annual Population Growth Rate,–0.0,,2016-2021,%,,TAP
Tajikistan,Average Annual Population Growth Rate,2.1,,2016-2021,%,,TAJ
Thailand,Average Annual Population Growth Rate,0.4,,2016-2021,%,,THA
Timor-Leste,Average Annual Population Growth Rate,2.1,,2016-2021,%,,TIM
Tonga,Average Annual Population Growth Rate,–0.3,,2016-2021,%,,TON
Turkmenistan,Average Annual Population Growth Rate,1.6,,2016-2021,%,,TKM
Tuvalu,Average Annual Population Growth Rate,0.6,,2016-2021,%,,TUV
Uzbekistan,Average Annual Population Growth Rate,1.8,,2016-2021,%,,UZB
Vanuatu,Average Annual Population Growth Rate,2.3,,2016-2021,%,,VAN
Viet Nam,Average Annual Population Growth Rate,1.1,,2016-2021,%,,VIE
Afghanistan,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Million Metric Tons,9.4.1,AFG
Afghanistan,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Per Unit of GDP (PPP),9.4.1,AFG
Armenia,"Carbon Dioxide (CO2) Emissions
",5.9,,2019,Million Metric Tons,9.4.1,ARM
Armenia,"Carbon Dioxide (CO2) Emissions
",0.1,,2019,Per Unit of GDP (PPP),9.4.1,ARM
Azerbaijan,"Carbon Dioxide (CO2) Emissions
",34.1,,2019,Million Metric Tons,9.4.1,AZE
Azerbaijan,"Carbon Dioxide (CO2) Emissions
",0.2,,2019,Per Unit of GDP (PPP),9.4.1,AZE
Bangladesh,"Carbon Dioxide (CO2) Emissions
",89.3,,2019,Million Metric Tons,9.4.1,BAN
Bangladesh,"Carbon Dioxide (CO2) Emissions
",0.1,,2019,Per Unit of GDP (PPP),9.4.1,BAN
Bhutan,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Million Metric Tons,9.4.1,BHU
Bhutan,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Per Unit of GDP (PPP),9.4.1,BHU
Brunei Darussalam,"Carbon Dioxide (CO2) Emissions
",6.6,,2019,Million Metric Tons,9.4.1,BRU
Brunei Darussalam,"Carbon Dioxide (CO2) Emissions
",0.2,,2019,Per Unit of GDP (PPP),9.4.1,BRU
Cambodia,"Carbon Dioxide (CO2) Emissions
",12.9,,2019,Million Metric Tons,9.4.1,CAM
Cambodia,"Carbon Dioxide (CO2) Emissions
",0.2,,2019,Per Unit of GDP (PPP),9.4.1,CAM
"China, People's Republic of","Carbon Dioxide (CO2) Emissions
","9,876.50",,2019,Million Metric Tons,9.4.1,PRC
"China, People's Republic of","Carbon Dioxide (CO2) Emissions
",0.4,,2019,Per Unit of GDP (PPP),9.4.1,PRC
Cook Islands,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Million Metric Tons,9.4.1,COO
Cook Islands,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Per Unit of GDP (PPP),9.4.1,COO
Fiji,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Million Metric Tons,9.4.1,FIJ
Fiji,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Per Unit of GDP (PPP),9.4.1,FIJ
Georgia,"Carbon Dioxide (CO2) Emissions
",9.3,,2019,Million Metric Tons,9.4.1,GEO
Georgia,"Carbon Dioxide (CO2) Emissions
",0.2,,2019,Per Unit of GDP (PPP),9.4.1,GEO
"Hong Kong, China","Carbon Dioxide (CO2) Emissions
",42.6,,2019,Million Metric Tons,9.4.1,HKG
"Hong Kong, China","Carbon Dioxide (CO2) Emissions
",0.1,,2019,Per Unit of GDP (PPP),9.4.1,HKG
India,"Carbon Dioxide (CO2) Emissions
","2,310.00",,2019,Million Metric Tons,9.4.1,IND
India,"Carbon Dioxide (CO2) Emissions
",0.3,,2019,Per Unit of GDP (PPP),9.4.1,IND
Indonesia,"Carbon Dioxide (CO2) Emissions
",583.4,,2019,Million Metric Tons,9.4.1,INO
Indonesia,"Carbon Dioxide (CO2) Emissions
",0.2,,2019,Per Unit of GDP (PPP),9.4.1,INO
Kazakhstan,"Carbon Dioxide (CO2) Emissions
",205,,2019,Million Metric Tons,9.4.1,KAZ
Kazakhstan,"Carbon Dioxide (CO2) Emissions
",0.4,,2019,Per Unit of GDP (PPP),9.4.1,KAZ
Kiribati,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Million Metric Tons,9.4.1,KIR
Kiribati,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Per Unit of GDP (PPP),9.4.1,KIR
"Korea, Republic of","Carbon Dioxide (CO2) Emissions
",585.7,,2019,Million Metric Tons,9.4.1,KOR
"Korea, Republic of","Carbon Dioxide (CO2) Emissions
",0.3,,2019,Per Unit of GDP (PPP),9.4.1,KOR
Kyrgyz Republic,"Carbon Dioxide (CO2) Emissions
",9.3,,2019,Million Metric Tons,9.4.1,KGZ
Kyrgyz Republic,"Carbon Dioxide (CO2) Emissions
",0.3,,2019,Per Unit of GDP (PPP),9.4.1,KGZ
Lao People's Democratic Republic,"Carbon Dioxide (CO2) Emissions
",17.2,,2019,Million Metric Tons,9.4.1,LAO
Lao People's Democratic Republic,"Carbon Dioxide (CO2) Emissions
",0.3,,2019,Per Unit of GDP (PPP),9.4.1,LAO
Malaysia,"Carbon Dioxide (CO2) Emissions
",236.6,,2019,Million Metric Tons,9.4.1,MAL
Malaysia,"Carbon Dioxide (CO2) Emissions
",0.3,,2019,Per Unit of GDP (PPP),9.4.1,MAL
Maldives,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Million Metric Tons,9.4.1,MLD
Maldives,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Per Unit of GDP (PPP),9.4.1,MLD
Marshall Islands,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Million Metric Tons,9.4.1,RMI
Marshall Islands,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Per Unit of GDP (PPP),9.4.1,RMI
"Micronesia, Federated States of","Carbon Dioxide (CO2) Emissions
", … ,,2019,Million Metric Tons,9.4.1,FSM
"Micronesia, Federated States of","Carbon Dioxide (CO2) Emissions
", … ,,2019,Per Unit of GDP (PPP),9.4.1,FSM
Mongolia,"Carbon Dioxide (CO2) Emissions
",22.7,,2019,Million Metric Tons,9.4.1,MON
Mongolia,"Carbon Dioxide (CO2) Emissions
",0.6,,2019,Per Unit of GDP (PPP),9.4.1,MON
Myanmar,"Carbon Dioxide (CO2) Emissions
",35.1,,2019,Million Metric Tons,9.4.1,MYA
Myanmar,"Carbon Dioxide (CO2) Emissions
",0.1,,2019,Per Unit of GDP (PPP),9.4.1,MYA
Nauru,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Million Metric Tons,9.4.1,NAU
Nauru,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Per Unit of GDP (PPP),9.4.1,NAU
Nepal,"Carbon Dioxide (CO2) Emissions
",10,,2019,Million Metric Tons,9.4.1,NEP
Nepal,"Carbon Dioxide (CO2) Emissions
",0.1,,2019,Per Unit of GDP (PPP),9.4.1,NEP
Niue,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Million Metric Tons,9.4.1,NIU
Niue,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Per Unit of GDP (PPP),9.4.1,NIU
Pakistan,"Carbon Dioxide (CO2) Emissions
",174.5,,2019,Million Metric Tons,9.4.1,PAK
Pakistan,"Carbon Dioxide (CO2) Emissions
",0.2,,2019,Per Unit of GDP (PPP),9.4.1,PAK
Palau,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Million Metric Tons,9.4.1,PAL
Palau,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Per Unit of GDP (PPP),9.4.1,PAL
Papua New Guinea,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Million Metric Tons,9.4.1,PNG
Papua New Guinea,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Per Unit of GDP (PPP),9.4.1,PNG
Philippines,"Carbon Dioxide (CO2) Emissions
",135.3,,2019,Million Metric Tons,9.4.1,PHI
Philippines,"Carbon Dioxide (CO2) Emissions
",0.1,,2019,Per Unit of GDP (PPP),9.4.1,PHI
Samoa,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Million Metric Tons,9.4.1,SAM
Samoa,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Per Unit of GDP (PPP),9.4.1,SAM
Singapore,"Carbon Dioxide (CO2) Emissions
",47.4,,2019,Million Metric Tons,9.4.1,SIN
Singapore,"Carbon Dioxide (CO2) Emissions
",0.1,,2019,Per Unit of GDP (PPP),9.4.1,SIN
Solomon Islands,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Million Metric Tons,9.4.1,SOL
Solomon Islands,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Per Unit of GDP (PPP),9.4.1,SOL
Sri Lanka,"Carbon Dioxide (CO2) Emissions
",22.7,,2019,Million Metric Tons,9.4.1,SRI
Sri Lanka,"Carbon Dioxide (CO2) Emissions
",0.1,,2019,Per Unit of GDP (PPP),9.4.1,SRI
"Taipei,China","Carbon Dioxide (CO2) Emissions
",256,,2019,Million Metric Tons,9.4.1,TAP
"Taipei,China","Carbon Dioxide (CO2) Emissions
",0.2,,2020,Per Unit of GDP (PPP),9.4.1,TAP
Tajikistan,"Carbon Dioxide (CO2) Emissions
",7.5,,2019,Million Metric Tons,9.4.1,TAJ
Tajikistan,"Carbon Dioxide (CO2) Emissions
",0.2,,2019,Per Unit of GDP (PPP),9.4.1,TAJ
Thailand,"Carbon Dioxide (CO2) Emissions
",251.4,,2019,Million Metric Tons,9.4.1,THA
Thailand,"Carbon Dioxide (CO2) Emissions
",0.2,,2019,Per Unit of GDP (PPP),9.4.1,THA
Timor-Leste,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Million Metric Tons,9.4.1,TIM
Timor-Leste,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Per Unit of GDP (PPP),9.4.1,TIM
Tonga,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Million Metric Tons,9.4.1,TON
Tonga,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Per Unit of GDP (PPP),9.4.1,TON
Turkmenistan,"Carbon Dioxide (CO2) Emissions
",69.2,,2019,Million Metric Tons,9.4.1,TKM
Turkmenistan,"Carbon Dioxide (CO2) Emissions
",0.8,,2019,Per Unit of GDP (PPP),9.4.1,TKM
Tuvalu,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Million Metric Tons,9.4.1,TUV
Tuvalu,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Per Unit of GDP (PPP),9.4.1,TUV
Uzbekistan,"Carbon Dioxide (CO2) Emissions
",111.8,,2019,Million Metric Tons,9.4.1,UZB
Uzbekistan,"Carbon Dioxide (CO2) Emissions
",0.5,,2019,Per Unit of GDP (PPP),9.4.1,UZB
Vanuatu,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Million Metric Tons,9.4.1,VAN
Vanuatu,"Carbon Dioxide (CO2) Emissions
", … ,,2019,Per Unit of GDP (PPP),9.4.1,VAN
Viet Nam,"Carbon Dioxide (CO2) Emissions
",282.3,,2019,Million Metric Tons,9.4.1,VIE
Viet Nam,"Carbon Dioxide (CO2) Emissions
",0.4,,2019,Per Unit of GDP (PPP),9.4.1,VIE
Afghanistan,Coverage of Protected Areas in Relation to Marine Areas, – ,,2021,%,14.5.1,AFG
Armenia,Coverage of Protected Areas in Relation to Marine Areas, – ,,2021,%,14.5.1,ARM
Azerbaijan,Coverage of Protected Areas in Relation to Marine Areas,0,,2021,%,14.5.1,AZE
Bangladesh,Coverage of Protected Areas in Relation to Marine Areas,5.3,,2021,%,14.5.1,BAN
Bhutan,Coverage of Protected Areas in Relation to Marine Areas, – ,,2021,%,14.5.1,BHU
Brunei Darussalam,Coverage of Protected Areas in Relation to Marine Areas,0.6,,2021,%,14.5.1,BRU
Cambodia,Coverage of Protected Areas in Relation to Marine Areas,1.4,,2021,%,14.5.1,CAM
"China, People's Republic of",Coverage of Protected Areas in Relation to Marine Areas,0.7,,2021,%,14.5.1,PRC
Cook Islands,Coverage of Protected Areas in Relation to Marine Areas,99.9,,2021,%,14.5.1,COO
Fiji,Coverage of Protected Areas in Relation to Marine Areas,0.9,,2021,%,14.5.1,FIJ
Georgia,Coverage of Protected Areas in Relation to Marine Areas,0.7,,2021,%,14.5.1,GEO
